source_url	parsed_url
https://www.politico.com/tipsheets/morning-money	https://news.yahoo.com/opinion-end-of-year-op-ed-from-president-biden-on-the-economy-215917662.html
https://www.politico.com/tipsheets/morning-money	https://www.eenews.net/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2022/12/24/bidens-student-loan-cancellation-supreme-court-00075358
https://www.politico.com/tipsheets/morning-money	https://www.politicopro.com/pro-reporting/?cid=promkt_20q1_corenews_act_money
https://www.politico.com/tipsheets/morning-money	https://ad.doubleclick.net/ddm/clk/546256207;355050893;k
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2022-election/race-forecasts-ratings-and-predictions/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tipsheets/morning-money?tab=most-read
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/agenda
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/west-wing-playbook
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/joe-biden-first-100-days-presidency
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/energy-and-environment
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/trade
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/settings
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/cdn-cgi/l/email-protection#ed9e9e9899998283ad9d82818499848e82c38e8280
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/finance
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/payment
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tipsheets/morning-money#icon-search
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/playbook-pm
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2022-election/results/house/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2022/12/22/senate-deal-government-funding-bill-00075143
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/manifest.json
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/matt-wuerker
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2022/12/20/hoping-for-the-best-planning-for-the-worst-00074688_1
